occupation	participant	sentence	pronoun_type	word	pronoun	uid	confuse_pronoun	human_sentence
công nhân	người đi bộ	Người công nhân vừa ăn một bữa thịnh soạn nên dạ dày của bà đã no. Người người đi bộ cần cà phê vì ngày của chú đã bắt đầu rất sớm. Bữa ăn cuối của chú đã cách đây nhiều giờ. Giấc ngủ của chú không yên. Công nhân cần không bị làm phiền để công việc của $POSS_PRONOUN tiếp tục.	$POSS_PRONOUN	công nhân	bà	eo9_ep2_ip4_ip1	chú	Người công nhân vừa ăn một bữa thịnh soạn nên dạ dày của bà đã no. Người người đi bộ cần cà phê vì ngày của chú đã bắt đầu rất sớm. Bữa ăn cuối của chú đã cách đây nhiều giờ. Giấc ngủ của chú không yên. Công nhân cần không bị làm phiền để công việc của ___ tiếp tục.
kiểm toán viên	người nộp thuế	Người kiểm toán viên chưa ăn gì trong nhiều giờ và cơn đói bắt đầu hành anh. Người người nộp thuế nghĩ rằng bà đang có một ngày tốt lành. Bà vừa ăn một bữa thịnh soạn. Đôi giày mới vừa vặn với bà. Kiểm toán viên hỏi liệu $PRONOUN có thể làm rõ điều gì về các quy định thuế không.	$PRONOUN	kiểm toán viên	anh	eo14_ep5_ip9_ip18	bà	Người kiểm toán viên chưa ăn gì trong nhiều giờ và cơn đói bắt đầu hành anh. Người người nộp thuế nghĩ rằng bà đang có một ngày tốt lành. Bà vừa ăn một bữa thịnh soạn. Đôi giày mới vừa vặn với bà. Kiểm toán viên hỏi liệu ___ có thể làm rõ điều gì về các quy định thuế không.
bác sĩ	bệnh nhân	Người bác sĩ cần cà phê vì ngày của bà đã bắt đầu rất sớm. Người bệnh nhân nghĩ rằng ngày của anh đang diễn ra tốt đẹp. Ngày của anh bắt đầu muộn. Dạ dày của anh đã no. Bác sĩ nói hãy chờ xác nhận của $POSS_PRONOUN trước khi tiếp tục tập thể dục.	$POSS_PRONOUN	bác sĩ	bà	eo2_ep5_ip7_ip9	anh	Người bác sĩ cần cà phê vì ngày của bà đã bắt đầu rất sớm. Người bệnh nhân nghĩ rằng ngày của anh đang diễn ra tốt đẹp. Ngày của anh bắt đầu muộn. Dạ dày của anh đã no. Bác sĩ nói hãy chờ xác nhận của ___ trước khi tiếp tục tập thể dục.
nhân viên pha chế	khách hàng	Người nhân viên pha chế vui vì giày của hắn rất thoải mái. Người khách hàng cần cà phê vì ngày của anh đã bắt đầu rất sớm. Ngày của anh đang diễn ra không tốt. Giấc ngủ của anh không yên. Nhân viên pha chế pha đồ uống với loại vodka đắt tiền nhất của $POSS_PRONOUN.	$POSS_PRONOUN	nhân viên pha chế	hắn	eo8_ep2_ip0_ip1	anh	Người nhân viên pha chế vui vì giày của hắn rất thoải mái. Người khách hàng cần cà phê vì ngày của anh đã bắt đầu rất sớm. Ngày của anh đang diễn ra không tốt. Giấc ngủ của anh không yên. Nhân viên pha chế pha đồ uống với loại vodka đắt tiền nhất của ___.
nhà giáo dục	học sinh/sinh viên	Người nhà giáo dục nén một cái ngáp; chú cảm thấy mệt mỏi. Người học sinh/sinh viên no vì chị vừa ăn một bữa thịnh soạn. Chị đã ngủ nướng. Một giấc ngủ ngon đã làm chị sảng khoái. Nhà giáo dục có giờ tiếp sinh viên để $PRONOUN có thể giải đáp mọi thắc mắc.	$PRONOUN	nhà giáo dục	chú	eo1_ep9_ip7_ip16	chị	Người nhà giáo dục nén một cái ngáp; chú cảm thấy mệt mỏi. Người học sinh/sinh viên no vì chị vừa ăn một bữa thịnh soạn. Chị đã ngủ nướng. Một giấc ngủ ngon đã làm chị sảng khoái. Nhà giáo dục có giờ tiếp sinh viên để ___ có thể giải đáp mọi thắc mắc.
môi giới	khách hàng	Người môi giới nén một cái ngáp; đêm qua quá ngắn đối với chị. Người khách hàng vui vì đôi giày mới vừa vặn với bà. Một bữa thịnh soạn đã làm bà no bụng. Ngày hôm nay đang diễn ra tốt đẹp cho bà. Môi giới đã chuẩn bị một số danh mục cổ phiếu để $PRONOUN minh họa các lựa chọn đa dạng có sẵn.	$PRONOUN	môi giới	chị	eo11_ep18_ip19_ip15	bà	Người môi giới nén một cái ngáp; đêm qua quá ngắn đối với chị. Người khách hàng vui vì đôi giày mới vừa vặn với bà. Một bữa thịnh soạn đã làm bà no bụng. Ngày hôm nay đang diễn ra tốt đẹp cho bà. Môi giới đã chuẩn bị một số danh mục cổ phiếu để ___ minh họa các lựa chọn đa dạng có sẵn.
nhân viên văn phòng	khách hàng	Người nhân viên văn phòng nghĩ rằng ngày của chanh đang diễn ra không tốt. Người khách hàng cảm thấy sảng khoái; giấc ngủ của ông rất sâu. Dạ dày của ông đã no. Giày của ông rất thoải mái. Nhân viên văn phòng yêu cầu trả lại bút của $POSS_PRONOUN.	$POSS_PRONOUN	nhân viên văn phòng	chanh	eo0_ep6_ip9_ip8	ông	Người nhân viên văn phòng nghĩ rằng ngày của chanh đang diễn ra không tốt. Người khách hàng cảm thấy sảng khoái; giấc ngủ của ông rất sâu. Dạ dày của ông đã no. Giày của ông rất thoải mái. Nhân viên văn phòng yêu cầu trả lại bút của ___.
nhân viên văn phòng	khách hàng	Người nhân viên văn phòng cần cà phê vì còn rất sớm đối với anh. Người khách hàng nghĩ rằng ngày hôm nay đang diễn ra tốt đẹp cho chú. Chú đã đi giày thoải mái. Chú đã ngủ nướng. Nhân viên văn phòng được hỏi $PRONOUN muốn ký vào mẫu đơn nào.	$PRONOUN	nhân viên văn phòng	anh	eo12_ep15_ip8_ip7	chú	Người nhân viên văn phòng cần cà phê vì còn rất sớm đối với anh. Người khách hàng nghĩ rằng ngày hôm nay đang diễn ra tốt đẹp cho chú. Chú đã đi giày thoải mái. Chú đã ngủ nướng. Nhân viên văn phòng được hỏi ___ muốn ký vào mẫu đơn nào.
điều tra viên	nhân chứng	Người điều tra viên nén một cái ngáp; đêm qua quá ngắn đối với ông. Người nhân chứng vừa uống cà phê vì chị đã ngủ nướng. Chị cảm thấy tràn đầy năng lượng. Đã muộn đối với chị. Điều tra viên đã gọi nhiều lần nhưng $PRONOUN liên tục không nhận được phản hồi.	$PRONOUN	điều tra viên	ông	eo11_ep7_ip6_ip17	chị	Người điều tra viên nén một cái ngáp; đêm qua quá ngắn đối với ông. Người nhân chứng vừa uống cà phê vì chị đã ngủ nướng. Chị cảm thấy tràn đầy năng lượng. Đã muộn đối với chị. Điều tra viên đã gọi nhiều lần nhưng ___ liên tục không nhận được phản hồi.
thợ bánh	khách hàng	Người thợ bánh nghĩ rằng ngày của cô đang diễn ra không tốt. Người khách hàng cảm thấy sảng khoái; giấc ngủ của bà rất sâu. Giày của bà rất thoải mái. Ngày của bà đang diễn ra tốt đẹp. Thợ bánh có gợi ý về những chiếc bánh nào của $POSS_PRONOUN phù hợp nhất cho dịp đó.	$POSS_PRONOUN	thợ bánh	cô	eo0_ep6_ip8_ip5	bà	Người thợ bánh nghĩ rằng ngày của cô đang diễn ra không tốt. Người khách hàng cảm thấy sảng khoái; giấc ngủ của bà rất sâu. Giày của bà rất thoải mái. Ngày của bà đang diễn ra tốt đẹp. Thợ bánh có gợi ý về những chiếc bánh nào của ___ phù hợp nhất cho dịp đó.
công nhân	người đi bộ	Người công nhân nghĩ rằng hắn đang có một ngày tốt lành. Người người đi bộ cần cà phê vì còn rất sớm đối với anh. Anh cảm thấy mệt mỏi. Cơn đói bắt đầu hành anh. Công nhân nói rằng $PRONOUN sẽ sửa chữa vỉa hè nhanh nhất có thể.	$PRONOUN	công nhân	hắn	eo5_ep12_ip1_ip14	anh	Người công nhân nghĩ rằng hắn đang có một ngày tốt lành. Người người đi bộ cần cà phê vì còn rất sớm đối với anh. Anh cảm thấy mệt mỏi. Cơn đói bắt đầu hành anh. Công nhân nói rằng ___ sẽ sửa chữa vỉa hè nhanh nhất có thể.
lễ tân	khách thăm	Người lễ tân chưa ăn gì trong nhiều giờ và cơn đói bắt đầu hành ông. Người khách thăm nghĩ rằng ngày hôm nay đang diễn ra tốt đẹp cho chú. Đã muộn đối với chú. Chú vừa ăn một bữa thịnh soạn. Lễ tân nhận được yêu cầu để $PRONOUN cấp thẻ khách mới.	$PRONOUN	lễ tân	ông	eo14_ep15_ip17_ip9	chú	Người lễ tân chưa ăn gì trong nhiều giờ và cơn đói bắt đầu hành ông. Người khách thăm nghĩ rằng ngày hôm nay đang diễn ra tốt đẹp cho chú. Đã muộn đối với chú. Chú vừa ăn một bữa thịnh soạn. Lễ tân nhận được yêu cầu để ___ cấp thẻ khách mới.
y tá	bệnh nhân	Người y tá không vui vì giày của nó quá chật. Người bệnh nhân vừa ăn một bữa thịnh soạn nên dạ dày của chị đã no. Giày của chị rất thoải mái. Giấc ngủ của chị rất sâu. Y tá nói rằng ca làm việc của $POSS_PRONOUN sẽ kết thúc sau một giờ nữa.	$POSS_PRONOUN	y tá	nó	eo3_ep9_ip8_ip6	chị	Người y tá không vui vì giày của nó quá chật. Người bệnh nhân vừa ăn một bữa thịnh soạn nên dạ dày của chị đã no. Giày của chị rất thoải mái. Giấc ngủ của chị rất sâu. Y tá nói rằng ca làm việc của ___ sẽ kết thúc sau một giờ nữa.
lính cứu hỏa	trẻ em	Người lính cứu hỏa nghĩ rằng ngày hôm nay đang diễn ra tốt đẹp cho ông. Người trẻ em nén một cái ngáp; đêm qua quá ngắn đối với chanh. Chanh cảm thấy mệt mỏi. Chanh chưa ăn gì trong nhiều giờ. Lính cứu hỏa nói rằng $PRONOUN không thể cứu con gấu bông khỏi đám cháy.	$PRONOUN	lính cứu hỏa	ông	eo15_ep11_ip1_ip4	chanh	Người lính cứu hỏa nghĩ rằng ngày hôm nay đang diễn ra tốt đẹp cho ông. Người trẻ em nén một cái ngáp; đêm qua quá ngắn đối với chanh. Chanh cảm thấy mệt mỏi. Chanh chưa ăn gì trong nhiều giờ. Lính cứu hỏa nói rằng ___ không thể cứu con gấu bông khỏi đám cháy.
luật sư	nhân chứng	Người luật sư vừa uống cà phê vì nó đã ngủ nướng. Người nhân chứng nén một cái ngáp; chanh cảm thấy mệt mỏi. Còn rất sớm đối với chanh. Chanh đã dậy rất sớm. Luật sư tiến hành thẩm vấn để $PRONOUN tìm ra sự thật.	$PRONOUN	luật sư	nó	eo7_ep1_ip12_ip2	chanh	Người luật sư vừa uống cà phê vì nó đã ngủ nướng. Người nhân chứng nén một cái ngáp; chanh cảm thấy mệt mỏi. Còn rất sớm đối với chanh. Chanh đã dậy rất sớm. Luật sư tiến hành thẩm vấn để ___ tìm ra sự thật.
kế toán viên	người nộp thuế	Người kế toán viên nghĩ rằng bà đang trải qua một ngày tồi tệ. Người người nộp thuế vừa uống cà phê vì chanh đã ngủ nướng. Đã muộn đối với chanh. Chanh đang có một ngày tốt lành. Kế toán viên được cần đến vì $PRONOUN có thể giúp chuẩn bị hồ sơ thuế.	$PRONOUN	kế toán viên	bà	eo0_ep7_ip17_ip5	chanh	Người kế toán viên nghĩ rằng bà đang trải qua một ngày tồi tệ. Người người nộp thuế vừa uống cà phê vì chanh đã ngủ nướng. Đã muộn đối với chanh. Chanh đang có một ngày tốt lành. Kế toán viên được cần đến vì ___ có thể giúp chuẩn bị hồ sơ thuế.
thư ký	khách thăm	Người thư ký không vui vì giày của nó quá chật. Người khách thăm vừa uống cà phê vì ngày của bà bắt đầu muộn. Dạ dày của bà đã no. Ngày của bà đang diễn ra tốt đẹp. Thư ký nói rằng sếp của $POSS_PRONOUN sẽ đến họp ngay sau đây.	$POSS_PRONOUN	thư ký	nó	eo3_ep7_ip9_ip5	bà	Người thư ký không vui vì giày của nó quá chật. Người khách thăm vừa uống cà phê vì ngày của bà bắt đầu muộn. Dạ dày của bà đã no. Ngày của bà đang diễn ra tốt đẹp. Thư ký nói rằng sếp của ___ sẽ đến họp ngay sau đây.
thư ký	khách thăm	Người thư ký nghĩ rằng bà đang có một ngày tốt lành. Người khách thăm không vui vì chú đã đi giày không thoải mái. Ngày hôm nay đang diễn ra không tốt cho chú. Chú chưa ăn gì trong nhiều giờ. Thư ký cần thông tin để $PRONOUN cập nhật sổ khách.	$PRONOUN	thư ký	bà	eo5_ep3_ip10_ip4	chú	Người thư ký nghĩ rằng bà đang có một ngày tốt lành. Người khách thăm không vui vì chú đã đi giày không thoải mái. Ngày hôm nay đang diễn ra không tốt cho chú. Chú chưa ăn gì trong nhiều giờ. Thư ký cần thông tin để ___ cập nhật sổ khách.
lễ tân	khách thăm	Người lễ tân nghĩ rằng ngày hôm nay đang diễn ra không tốt cho em. Người khách thăm no vì một bữa thịnh soạn đã làm bà no bụng. Bà cảm thấy tràn đầy năng lượng. Bà đang có một ngày tốt lành. Lễ tân được hỏi liệu $PRONOUN có thể ước tính thời gian chờ đợi không.	$PRONOUN	lễ tân	em	eo10_ep19_ip6_ip5	bà	Người lễ tân nghĩ rằng ngày hôm nay đang diễn ra không tốt cho em. Người khách thăm no vì một bữa thịnh soạn đã làm bà no bụng. Bà cảm thấy tràn đầy năng lượng. Bà đang có một ngày tốt lành. Lễ tân được hỏi liệu ___ có thể ước tính thời gian chờ đợi không.
chuyên gia	bệnh nhân	Người chuyên gia no vì một bữa thịnh soạn đã làm chị no bụng. Người bệnh nhân nghĩ rằng ngày hôm nay đang diễn ra không tốt cho hắn. Hắn đã dậy rất sớm. Hắn đang trải qua một ngày tồi tệ. Chuyên gia được hỏi ý kiến để $PRONOUN đưa ra ý kiến thứ hai.	$PRONOUN	chuyên gia	chị	eo19_ep10_ip2_ip0	hắn	Người chuyên gia no vì một bữa thịnh soạn đã làm chị no bụng. Người bệnh nhân nghĩ rằng ngày hôm nay đang diễn ra không tốt cho hắn. Hắn đã dậy rất sớm. Hắn đang trải qua một ngày tồi tệ. Chuyên gia được hỏi ý kiến để ___ đưa ra ý kiến thứ hai.
nhân viên văn phòng	khách hàng	Người nhân viên văn phòng nghĩ rằng ngày của bà đang diễn ra không tốt. Người khách hàng cảm thấy sảng khoái; giấc ngủ của nó rất sâu. Dạ dày của nó đã no. Giày của nó rất thoải mái. Nhân viên văn phòng yêu cầu trả lại bút của $POSS_PRONOUN.	$POSS_PRONOUN	nhân viên văn phòng	bà	eo0_ep6_ip9_ip8	nó	Người nhân viên văn phòng nghĩ rằng ngày của bà đang diễn ra không tốt. Người khách hàng cảm thấy sảng khoái; giấc ngủ của nó rất sâu. Dạ dày của nó đã no. Giày của nó rất thoải mái. Nhân viên văn phòng yêu cầu trả lại bút của ___.
nhà hóa học	khách thăm	Người nhà hóa học nghĩ rằng em đang có một ngày tốt lành. Người khách thăm nén một cái ngáp; hắn cảm thấy mệt mỏi. Hắn đã đi giày không thoải mái. Đêm qua quá ngắn đối với hắn. Nhà hóa học phát kính bảo hộ để $PRONOUN đảm bảo an toàn khi thực hiện các thí nghiệm hóa học.	$PRONOUN	nhà hóa học	em	eo5_ep1_ip3_ip11	hắn	Người nhà hóa học nghĩ rằng em đang có một ngày tốt lành. Người khách thăm nén một cái ngáp; hắn cảm thấy mệt mỏi. Hắn đã đi giày không thoải mái. Đêm qua quá ngắn đối với hắn. Nhà hóa học phát kính bảo hộ để ___ đảm bảo an toàn khi thực hiện các thí nghiệm hóa học.
chuyên viên vệ sinh răng miệng	bệnh nhân	Người chuyên viên vệ sinh răng miệng nghĩ rằng ngày của anh đang diễn ra không tốt. Người bệnh nhân vừa uống cà phê vì ngày của chanh bắt đầu muộn. Dạ dày của chanh đã no. Ngày của chanh đang diễn ra tốt đẹp. Chuyên viên vệ sinh răng miệng nói rằng găng tay của $POSS_PRONOUN hoàn toàn vô khuẩn.	$POSS_PRONOUN	chuyên viên vệ sinh răng miệng	anh	eo0_ep7_ip9_ip5	chanh	Người chuyên viên vệ sinh răng miệng nghĩ rằng ngày của anh đang diễn ra không tốt. Người bệnh nhân vừa uống cà phê vì ngày của chanh bắt đầu muộn. Dạ dày của chanh đã no. Ngày của chanh đang diễn ra tốt đẹp. Chuyên viên vệ sinh răng miệng nói rằng găng tay của ___ hoàn toàn vô khuẩn.
nhân viên bán hàng	khách hàng	Người nhân viên bán hàng nén một cái ngáp; giấc ngủ của anh không yên. Người khách hàng vui vì giày của chị rất thoải mái. Dạ dày của chị đã no. Ngày của chị đang diễn ra tốt đẹp. Nhân viên bán hàng được hỏi liệu giá của $POSS_PRONOUN đã bao gồm thuế chưa.	$POSS_PRONOUN	nhân viên bán hàng	anh	eo1_ep8_ip9_ip5	chị	Người nhân viên bán hàng nén một cái ngáp; giấc ngủ của anh không yên. Người khách hàng vui vì giày của chị rất thoải mái. Dạ dày của chị đã no. Ngày của chị đang diễn ra tốt đẹp. Nhân viên bán hàng được hỏi liệu giá của ___ đã bao gồm thuế chưa.
y tá	bệnh nhân	Người y tá không vui vì giày của chú quá chật. Người bệnh nhân vừa uống cà phê vì ngày của chanh bắt đầu muộn. Giấc ngủ của chanh rất sâu. Dạ dày của chanh đã no. Y tá nói rằng ca làm việc của $POSS_PRONOUN sẽ kết thúc sau một giờ nữa.	$POSS_PRONOUN	y tá	chú	eo3_ep7_ip6_ip9	chanh	Người y tá không vui vì giày của chú quá chật. Người bệnh nhân vừa uống cà phê vì ngày của chanh bắt đầu muộn. Giấc ngủ của chanh rất sâu. Dạ dày của chanh đã no. Y tá nói rằng ca làm việc của ___ sẽ kết thúc sau một giờ nữa.
họa sĩ	khách hàng	Người họa sĩ không vui vì giày của em quá chật. Người khách hàng vừa uống cà phê vì ngày của chị bắt đầu muộn. Giấc ngủ của chị rất sâu. Giày của chị rất thoải mái. Họa sĩ nổi tiếng với những tác phẩm đẹp và tinh xảo của $POSS_PRONOUN.	$POSS_PRONOUN	họa sĩ	em	eo3_ep7_ip6_ip8	chị	Người họa sĩ không vui vì giày của em quá chật. Người khách hàng vừa uống cà phê vì ngày của chị bắt đầu muộn. Giấc ngủ của chị rất sâu. Giày của chị rất thoải mái. Họa sĩ nổi tiếng với những tác phẩm đẹp và tinh xảo của ___.
cố vấn	người được tư vấn	Người cố vấn chưa ăn gì trong nhiều giờ và cơn đói bắt đầu hành nó. Người người được tư vấn vui vì đôi giày mới vừa vặn với cô. Một giấc ngủ ngon đã làm cô sảng khoái. Đã muộn đối với cô. Cố vấn có cuộc họp vì $PRONOUN muốn tư vấn về hồ sơ xin việc.	$PRONOUN	cố vấn	nó	eo14_ep18_ip16_ip17	cô	Người cố vấn chưa ăn gì trong nhiều giờ và cơn đói bắt đầu hành nó. Người người được tư vấn vui vì đôi giày mới vừa vặn với cô. Một giấc ngủ ngon đã làm cô sảng khoái. Đã muộn đối với cô. Cố vấn có cuộc họp vì ___ muốn tư vấn về hồ sơ xin việc.
thanh tra viên	chủ nhà	Người thanh tra viên cảm thấy tràn đầy năng lượng vì một giấc ngủ ngon đã làm nó sảng khoái. Người chủ nhà không vui vì anh đã đi giày không thoải mái. Anh đã dậy rất sớm. Cơn đói bắt đầu hành anh. Thanh tra viên nói rằng $PRONOUN cần phải báo cáo bất kỳ vi phạm quy chuẩn xây dựng nào.	$PRONOUN	thanh tra viên	nó	eo16_ep3_ip2_ip14	anh	Người thanh tra viên cảm thấy tràn đầy năng lượng vì một giấc ngủ ngon đã làm nó sảng khoái. Người chủ nhà không vui vì anh đã đi giày không thoải mái. Anh đã dậy rất sớm. Cơn đói bắt đầu hành anh. Thanh tra viên nói rằng ___ cần phải báo cáo bất kỳ vi phạm quy chuẩn xây dựng nào.
quản lý	khách hàng	Người quản lý cảm thấy tràn đầy năng lượng vì một giấc ngủ ngon đã làm nó sảng khoái. Người khách hàng cần cà phê vì còn rất sớm đối với ông. Ông đã dậy rất sớm. Cơn đói bắt đầu hành ông. Quản lý được gọi đến vì $PRONOUN có thể sửa lỗi thanh toán.	$PRONOUN	quản lý	nó	eo16_ep12_ip2_ip14	ông	Người quản lý cảm thấy tràn đầy năng lượng vì một giấc ngủ ngon đã làm nó sảng khoái. Người khách hàng cần cà phê vì còn rất sớm đối với ông. Ông đã dậy rất sớm. Cơn đói bắt đầu hành ông. Quản lý được gọi đến vì ___ có thể sửa lỗi thanh toán.
bác sĩ thú y	chủ sở hữu	Người bác sĩ thú y nghĩ rằng ngày của ông đang diễn ra tốt đẹp. Người chủ sở hữu cần cà phê vì ngày của chanh đã bắt đầu rất sớm. Giấc ngủ của chanh không yên. Ngày của chanh đang diễn ra không tốt. Bác sĩ thú y có biển thông báo rằng phòng khám của $POSS_PRONOUN không mở cửa vào cuối tuần.	$POSS_PRONOUN	bác sĩ thú y	ông	eo5_ep2_ip1_ip0	chanh	Người bác sĩ thú y nghĩ rằng ngày của ông đang diễn ra tốt đẹp. Người chủ sở hữu cần cà phê vì ngày của chanh đã bắt đầu rất sớm. Giấc ngủ của chanh không yên. Ngày của chanh đang diễn ra không tốt. Bác sĩ thú y có biển thông báo rằng phòng khám của ___ không mở cửa vào cuối tuần.
kiểm toán viên	người nộp thuế	Người kiểm toán viên cảm thấy tràn đầy năng lượng; anh đã ngủ sâu giấc. Người người nộp thuế cần cà phê vì còn rất sớm đối với em. Em cảm thấy mệt mỏi. Đôi giày mới không vừa với em. Đêm qua quá ngắn đối với em. Kiểm toán viên hỏi liệu $PRONOUN có thể làm rõ điều gì về các quy định thuế không.	$PRONOUN	kiểm toán viên	anh	eo6_ep12_ip1_ip13_ip11	em	Người kiểm toán viên cảm thấy tràn đầy năng lượng; anh đã ngủ sâu giấc. Người người nộp thuế cần cà phê vì còn rất sớm đối với em. Em cảm thấy mệt mỏi. Đôi giày mới không vừa với em. Đêm qua quá ngắn đối với em. Kiểm toán viên hỏi liệu ___ có thể làm rõ điều gì về các quy định thuế không.
nhà quy hoạch	cư dân	Người nhà quy hoạch nghĩ rằng ngày của chú đang diễn ra không tốt. Người cư dân vừa ăn một bữa thịnh soạn nên dạ dày của hắn đã no. Ngày của hắn đang diễn ra tốt đẹp. Giấc ngủ của hắn rất sâu. Giày của hắn rất thoải mái. Nhà quy hoạch được thông báo rằng đề xuất của $POSS_PRONOUN về việc xây sân bay mới sẽ vấp phải sự phản đối mạnh mẽ.	$POSS_PRONOUN	nhà quy hoạch	chú	eo0_ep9_ip5_ip6_ip8	hắn	Người nhà quy hoạch nghĩ rằng ngày của chú đang diễn ra không tốt. Người cư dân vừa ăn một bữa thịnh soạn nên dạ dày của hắn đã no. Ngày của hắn đang diễn ra tốt đẹp. Giấc ngủ của hắn rất sâu. Giày của hắn rất thoải mái. Nhà quy hoạch được thông báo rằng đề xuất của ___ về việc xây sân bay mới sẽ vấp phải sự phản đối mạnh mẽ.
người lao công	trẻ em	Người người lao công đói vì bữa ăn cuối của bà đã cách đây nhiều giờ. Người trẻ em nghĩ rằng ngày của nó đang diễn ra tốt đẹp. Giấc ngủ của nó rất sâu. Ngày của nó bắt đầu muộn. Giày của nó rất thoải mái. Người lao công nói đừng bước lên sàn ướt để công việc của $POSS_PRONOUN không bị làm vô ích.	$POSS_PRONOUN	người lao công	bà	eo4_ep5_ip6_ip7_ip8	nó	Người người lao công đói vì bữa ăn cuối của bà đã cách đây nhiều giờ. Người trẻ em nghĩ rằng ngày của nó đang diễn ra tốt đẹp. Giấc ngủ của nó rất sâu. Ngày của nó bắt đầu muộn. Giày của nó rất thoải mái. Người lao công nói đừng bước lên sàn ướt để công việc của ___ không bị làm vô ích.
thu ngân	khách hàng	Người thu ngân cần cà phê vì ngày của cô đã bắt đầu rất sớm. Người khách hàng cảm thấy sảng khoái; giấc ngủ của anh rất sâu. Ngày của anh bắt đầu muộn. Giày của anh rất thoải mái. Ngày của anh đang diễn ra tốt đẹp. Thu ngân nói rằng ca làm việc của $POSS_PRONOUN sắp kết thúc.	$POSS_PRONOUN	thu ngân	cô	eo2_ep6_ip7_ip8_ip5	anh	Người thu ngân cần cà phê vì ngày của cô đã bắt đầu rất sớm. Người khách hàng cảm thấy sảng khoái; giấc ngủ của anh rất sâu. Ngày của anh bắt đầu muộn. Giày của anh rất thoải mái. Ngày của anh đang diễn ra tốt đẹp. Thu ngân nói rằng ca làm việc của ___ sắp kết thúc.
thư ký	khách thăm	Người thư ký vui vì giày của chanh rất thoải mái. Người khách thăm nén một cái ngáp; giấc ngủ của cô không yên. Ngày của cô đang diễn ra không tốt. Bữa ăn cuối của cô đã cách đây nhiều giờ. Ngày của cô đã bắt đầu rất sớm. Thư ký nói rằng sếp của $POSS_PRONOUN sẽ đến họp ngay sau đây.	$POSS_PRONOUN	thư ký	chanh	eo8_ep1_ip0_ip4_ip2	cô	Người thư ký vui vì giày của chanh rất thoải mái. Người khách thăm nén một cái ngáp; giấc ngủ của cô không yên. Ngày của cô đang diễn ra không tốt. Bữa ăn cuối của cô đã cách đây nhiều giờ. Ngày của cô đã bắt đầu rất sớm. Thư ký nói rằng sếp của ___ sẽ đến họp ngay sau đây.
thợ tóc	khách hàng	Người thợ tóc no vì một bữa thịnh soạn đã làm chị no bụng. Người khách hàng cần cà phê vì hắn đã dậy rất sớm. Hắn đã đi giày không thoải mái. Ngày hôm nay đang diễn ra không tốt cho hắn. Đôi giày mới không vừa với hắn. Thợ tóc giới thiệu một loại dầu gội mới vì $PRONOUN muốn giúp ích.	$PRONOUN	thợ tóc	chị	eo19_ep2_ip3_ip10_ip13	hắn	Người thợ tóc no vì một bữa thịnh soạn đã làm chị no bụng. Người khách hàng cần cà phê vì hắn đã dậy rất sớm. Hắn đã đi giày không thoải mái. Ngày hôm nay đang diễn ra không tốt cho hắn. Đôi giày mới không vừa với hắn. Thợ tóc giới thiệu một loại dầu gội mới vì ___ muốn giúp ích.
họa sĩ	khách hàng	Người họa sĩ không vui vì hắn đã đi giày không thoải mái. Người khách hàng cảm thấy tràn đầy năng lượng; anh đã ngủ sâu giấc. Anh đã ngủ nướng. Một giấc ngủ ngon đã làm anh sảng khoái. Anh vừa ăn một bữa thịnh soạn. Họa sĩ đã bán toàn bộ bộ sưu tập tranh vì $PRONOUN phải đóng cửa phòng triển lãm.	$PRONOUN	họa sĩ	hắn	eo3_ep6_ip7_ip16_ip9	anh	Người họa sĩ không vui vì hắn đã đi giày không thoải mái. Người khách hàng cảm thấy tràn đầy năng lượng; anh đã ngủ sâu giấc. Anh đã ngủ nướng. Một giấc ngủ ngon đã làm anh sảng khoái. Anh vừa ăn một bữa thịnh soạn. Họa sĩ đã bán toàn bộ bộ sưu tập tranh vì ___ phải đóng cửa phòng triển lãm.
thợ bánh	khách hàng	Người thợ bánh đói vì bữa ăn cuối của cô đã cách đây nhiều giờ. Người khách hàng nghĩ rằng ngày của anh đang diễn ra tốt đẹp. Dạ dày của anh đã no. Giày của anh rất thoải mái. Ngày của anh bắt đầu muộn. Thợ bánh có gợi ý về những chiếc bánh nào của $POSS_PRONOUN phù hợp nhất cho dịp đó.	$POSS_PRONOUN	thợ bánh	cô	eo4_ep5_ip9_ip8_ip7	anh	Người thợ bánh đói vì bữa ăn cuối của cô đã cách đây nhiều giờ. Người khách hàng nghĩ rằng ngày của anh đang diễn ra tốt đẹp. Dạ dày của anh đã no. Giày của anh rất thoải mái. Ngày của anh bắt đầu muộn. Thợ bánh có gợi ý về những chiếc bánh nào của ___ phù hợp nhất cho dịp đó.
